section_num,court_name,judge_name,phone,email,site_url,address,work_schedule
1,Судебный участок мирового судьи № 1 Автозаводского судебного района г.Н.Новгорода,Марков Сергей Андреевич,+7 831 261-01-47,avtoz_1@msud.nnov.ru,http://avtoz1.nnov.msudrf.ru,"Ватутина ул., д. 10-а г. Н.Новгород, 603950","8.00-17.00, обед 13.00-14.00"
2,Судебный участок мирового судьи № 2 Автозаводского судебного района г.Н.Новгорода,Ефремова Татьяна Евгеньевна,+7 831 261-01-48,avtoz_2@msud.nnov.ru,http://avtoz2.nnov.msudrf.ru,"Ватутина ул., д. 10-а г. Н.Новгород, 603950","8.00-17.00, обед 13.00-14.00"
3,Судебный участок мирового судьи № 3 Автозаводского судебного района г.Н.Новгорода,Шикина Анна Владимировна,+7 831 261-01-49,avtoz_3@msud.nnov.ru,http://avtoz3.nnov.msudrf.ru,"Ватутина ул., д. 10-а г. Н.Новгород, 603950","8.00-17.00, обед 13.00-14.00"
4,Судебный участок мирового судьи № 4 Автозаводского судебного района г.Н.Новгорода,Самсонова Наталья Александровна,+7 831 261-01-52,avtoz_4@msud.nnov.ru,http://avtoz4.nnov.msudrf.ru,"Ватутина ул., д. 10-а г. Н.Новгород, 603950","8.00-17.00, обед 13.00-14.00"
5,Судебный участок мирового судьи № 5 Автозаводского судебного района г.Н.Новгорода,Ульянов Алексей Валерьевич,+7 831 261-01-53,avtoz_5@msud.nnov.ru,http://avtoz5.nnov.msudrf.ru,"Ватутина ул., д. 10-а г. Н.Новгород, 603950","8.00-17.00, обед 13.00-14.00"
6,Судебный участок мирового судьи № 6 Автозаводского судебного района г.Н.Новгорода,Полякова Алла Леонидовна,+7 831 261-01-54,avtoz_6@msud.nnov.ru,http://avtoz6.nnov.msudrf.ru,"Ватутина ул., д. 10-а г. Н.Новгород, 603950","8.00-17.00, обед 13.00-14.00"
7,Судебный участок мирового судьи № 7 Автозаводского судебного района г.Н.Новгорода,Воронцов Денис Владимирович,+7 831 269-06-67,avtoz_7@msud.nnov.ru,http://avtoz7.nnov.msudrf.ru,"Ватутина ул., д.6-а г.Н.Новгород, 603950","8.00-17.00, обед 13.00-14.00"
8,Судебный участок мирового судьи № 8 Автозаводского судебного района г.Н.Новгорода,Зайцев Сергей Алексеевич,+7 831 269-06-71,avtoz_8@msud.nnov.ru,http://avtoz8.nnov.msudrf.ru,"Ватутина ул., д.6-а г.Н.Новгород, 603950","8.00-17.00, обед 13.00-14.00"
9,Судебный участок мирового судьи № 9 Автозаводского судебного района г.Н.Новгорода,Вавилова Ольга Федоровна,+7 831 269-06-62,avtoz_9@msud.nnov.ru,http://avtoz9.nnov.msudrf.ru,"Ватутина ул., д.6-а г.Н.Новгород, 603950","8.00-17.00, обед 13.00-14.00"
10,Судебный участок мирового судьи № 10 Автозаводского судебного  района г.Н.Новгорода,Жуков Роман Григорьевич,+7 831 269-06-75,avtoz_10@msud.nnov.ru,http://avtoz10.nnov.msudrf.ru,"Ватутина ул., д.6-а г.Н.Новгород, 603950","8.00-17.00, обед 13.00-14.00"
11,Судебный участок мирового судьи № 11 Автозаводского судебного района г.Н.Новгорода,Хлапов Александр Львович,+7 831 269-06-65,avtoz_11@msud.nnov.ru,http://avtoz11.nnov.msudrf.ru,"Ватутина ул., д.6-а г.Н.Новгород, 603950","8.00-17.00, обед 13.00-14.00"
12,Судебный участок мирового судьи № 12 Автозаводского судебного района г.Н.Новгорода,Зеленкова Валерия Юрьевна,+7 831 269-06-73,avtoz_12@msud.nnov.ru,http://avtoz12.nnov.msudrf.ru,"Ватутина ул., д.6-а г.Н.Новгород, 603950","8.00-17.00, обед 13.00-14.00"
13,Судебный участок мирового судьи № 13 Автозаводского судебного района г.Н.Новгорода,Арефьева Марина Михайловна,+7 831 269-06-63,avtoz_13@msud.nnov.ru,http://avtoz13.nnov.msudrf.ru,"Ватутина ул., д.6-а г.Н.Новгород, 603950","8.00-17.00, обед 13.00-14.00"
